"","UnitCode","StdLocName","SiteID","MarkerType","MarkerName","SpatialDataSource","MonumentDate","RetiredYear","RetiredReason","SafetyNotes","NavigationNotes","QAQCed","Certified","DateCertified","globalid","NEAR_FID","NEAR_DIST"
"80","SAGW","Wildlife_SAGW_W102_060",64,"GPS Only","W102_060","Samsung Tab Active A","2017/01/23 00:00:00",NA,NA,NA,"take Panther peak wash trail until white boundary sign. continuecontinue to hiketo north to jeep/horse trail. follow trail to point. ","Y",NA,NA,"{105C500E-64D7-4493-A64E-63852575A24C}",3,0.065838073285873
"81","ORPI","Wildlife_ORPI_V101_011",44,"Rebar","V101_011","Samsung Tab Active A","2016/04/25 00:00:00",NA,NA,NA,"Walk north west from 006","Y",NA,NA,"{852B27C3-ACC6-4EBF-A262-4BBDDE47F200}",157,0.181422875271998
"82","ORPI","Wildlife_ORPI_V102_54W",23,"GPS Only","V102_54W","Samsung Tab Active A","2016/04/22 00:00:00",NA,NA,NA,"Park on the fenceline road and hike straight to the point","Y",NA,NA,"{D15A21CE-156E-49F0-BECF-72F6F13E2ABA}",69,0.152740731027058
"83","CHIR","Wildlife_CHIR_V503_007",135,"Rebar","V503_007","Garmin GLO","2017/09/09 00:00:00",NA,NA,"steep with rock climbing involved","follow drainage until it turns north east, then cross drainage to be on the left, involved hoodoo climbing so be safe!","Y",NA,NA,"{AF5F2C8D-4A86-45AE-98F0-621F4BFE0508}",8,0.0136956264996568
"84","CHIR","Wildlife_CHIR_V502_007",165,"Rebar","V502_007","Garmin GLO","2017/09/21 00:00:00",NA,NA,"Loose gravel and rocks. Very steep and advanced climbing.","Park at side of road. Follow (climb up) drainage. Cross in and out of drainage in zigzag pattern if rocks are not climbable until you hit ridgeline. Follow ridge ca. 500 meters to plot. Going up the slope west of the drainage might be easier.","Y",NA,NA,"{06B8C271-377B-46F4-956C-712836BFE1F3}",8,0.00845490946802219
"85","SAGW","Wildlife_SAGW_W202_041",89,"GPS Only","W202_041","Samsung Tab Active A","2017/01/25 00:00:00",NA,NA,"last 100m is a steep climb","Park near junction of Golden Gate Rd and ? , hike along Dobe wash trail until point is ~280m south.","Y",NA,NA,"{EB9B3096-02A4-485E-89E3-884702281D04}",3,0.112381047639334
"86","ORPI","Wildlife_ORPI_V102_134R",59,"GPS Only","V102_134R","Samsung Tab Active A","2016/04/27 00:00:00",NA,NA,NA,"Park on Puerto Blanco Dr. and hike straight to the point for about 350m.","Y",NA,NA,"{953D65E6-7516-4362-A3D6-D28A82C2721A}",153,0.0723721659742599
"87","SAGW","Wildlife_SAGW_W102_016",68,"GPS Only","W102_016","Samsung Tab Active A","2017/01/23 00:00:00",NA,NA,NA,"Park east side of sendario road walk 70 meters through open desert. camera is near a large prickly pear","Y",NA,NA,"{C3997C05-6040-4E90-AF93-AAAEEC86F740}",3,0.138426879195567
"88","ORPI","Wildlife_ORPI_V102_004",12,"Rebar","V102_004","Samsung Tab Active A","2016/03/23 00:00:00",NA,NA,NA,"Park at pullout on Alamo Canyon Road and hike north for 1km.","Y",NA,NA,"{93400B77-3042-4CC3-8D7C-9B73F0DA05E9}",104,0.0193480727308546
"89","ORPI","Wildlife_ORPI_V101_005",48,"Rebar","V101_005","Garmin GLO","2018/04/26 00:00:00",NA,NA,"uneven rock , cactus cholla cactus.","Park off Pozo Nuevo rd. hike 0.8 miles @60째 to cam","Y",NA,NA,"{B7E655DB-E63D-49E8-8376-3D76640ED865}",153,0.135473280194043
"90","ORPI","Wildlife_ORPI_V101_001R",49,"Rebar","V101_001R","Garmin GLO","2018/04/26 00:00:00",NA,NA,NA,"Park on Pozo Nuevo road at 2.8km from the point and hike around the hill.","Y",NA,NA,"{08B4F165-D61B-4E34-A47C-E67B41C90F96}",157,0.108428066517621
"91","SAGW","Wildlife_SAGW_W202_063",72,"GPS Only","W202_063","Samsung Tab Active A","2017/01/24 00:00:00",NA,NA,NA,"From plot 102_024 hike SE until you hit plot. Walking on and crossing Encino trail.","Y",NA,NA,"{C705EEDB-3214-40EB-81CD-B0AD47F76A42}",3,0.107119724847653
"92","SAGW","Wildlife_SAGW_W202_017",120,"GPS Only","W202_017","Samsung Tab Active A","2017/02/05 00:00:00",NA,NA,NA,"Alternate route: park @ pullout on golden gate Rd when point is due south 380 meters. point is just over saddle between two small hills","Y",NA,NA,"{DE3AF791-57D9-47A9-9A96-AA4F7185C0D6}",3,0.104368582444094
"93","ORPI","Wildlife_ORPI_V103_003",17,"Rebar","V103_003","Samsung Tab Active A","2016/03/24 00:00:00",NA,NA,"there is no need to walk on the steep slope of the larger mountain","Park at post 13. walk to the back left side of larger mountain","Y",NA,NA,"{122E9774-26C1-424B-8908-943CC6A9FC1E}",69,0.0200967810961218
"94","TONT","Wildlife_TONT_V202_002",203,"Rebar","V202_002","Garmin GLO","2017/05/17 00:00:00",NA,NA,"na","Access from VC, over front of Butte Slope","Y",NA,NA,"{B825612A-1D12-4AE0-BEB5-5A0783C3BB7B}",439,0.00835074915034984
"95","SAGW","Wildlife_SAGW_W202_031",82,"GPS Only","W202_031","Samsung Tab Active A","2017/01/24 00:00:00",NA,NA,"a bit of a scramble into wash. watch for traffic if you choose to walk west down Kinney road","point is due west of point 1 about 780 meters. walk south from 1 to Kinney road, then west along Kinney. drop down into east finger of large wash (about 35 meters past turn off to maintenance/OPS entrance road). camera is on northern bank of wash...","Y",NA,NA,"{DDCF43F4-3035-496F-85F0-75219F1B97AC}",3,0.13839558744221
"96","CHIR","Wildlife_CHIR_Rhyolite_Index1",160,"GPS Only","Rhyolite_Index1","Garmin GLO","2017/09/20 00:00:00",NA,NA,"na","Park at visitor center.  hike Rhyolite trail ~200m.","Y",NA,NA,"{79FFBC43-8348-4760-85C1-788B60B5EF01}",9,0.00671786636798061
"97","ORPI","Wildlife_ORPI_V102_002",11,"Rebar","V102_002","Samsung Tab Active A","2016/03/23 00:00:00",NA,NA,"encountered small washes, had to find right point of entry","arch canyon trail is a good turn off. walk down road and turn off","Y",NA,NA,"{4947CB2D-299D-4319-B924-9621A43CF8C5}",104,0.0387628011109509
"98","SAGW","Wildlife_SAGW_W202_053",115,"GPS Only","W202_053","Samsung Tab Active A","2017/01/31 00:00:00",NA,NA,"steep hills and loose rocks after you leave the trail.","take Abington trail from end of Abington rd. at first junction hike west along trail until ~540m, then off trail towards point. hike across wash and up hill.","Y",NA,NA,"{F9C80FE8-D6D5-4335-9329-BECA80930E96}",3,0.0426954247138272
"99","CHIR","Wildlife_CHIR_V502_003",163,"Rebar","V502_003","Garmin GLO","2017/09/21 00:00:00",NA,NA,"Loose gravel","From 502_018 head up slope and traverse the Ridgeline. Plot ca. 350 m away.","Y",NA,NA,"{4F8D1EA0-8B17-4933-A5E7-C7E5257D927B}",8,0.0165214055113584
"100","ORPI","Wildlife_ORPI_V102_006",7,"Rebar","V102_006","Samsung Tab Active A","2016/03/22 00:00:00",NA,NA,NA,"Park @ ajo mtn wayside. camera is in open gravel","Y",NA,NA,"{CC19FF8A-96CC-4239-8628-BC7BF24F60DC}",1,0.0638588428282404
"101","CHIR","Wildlife_CHIR_V402_010",129,"Rebar","V402_010","Garmin GLO","2017/09/07 00:00:00",NA,NA,"steep","Park at headquarters and follow drainage, go up slope","Y",NA,NA,"{5F06F18E-C221-40AE-AB52-F3D19B819059}",12,0.00524384050536313
"102","ORPI","Wildlife_ORPI_V102_001",5,"Rebar","V102_001","Samsung Tab Active A","2016/03/22 00:00:00",NA,NA,NA,"Park at Ajo mtn wayside","Y",NA,NA,"{377DAE18-2B5C-4B49-BE02-BA6760A68E10}",1,0.0626036624914244
"103","SAGW","Wildlife_SAGW_W202_051",100,"GPS Only","W202_051","Samsung Tab Active A","2017/01/25 00:00:00",NA,NA,NA,"Park after wash on side of road. ","Y",NA,NA,"{96BAF310-67EE-48A3-9FFD-616C2B02730D}",3,0.0707296725176054
"104","SAGW","Wildlife_SAGW_W202_008",95,"GPS Only","W202_008","Samsung Tab Active A","2017/01/25 00:00:00",NA,NA,NA,"take Sweetwater Rd west all the way to the end, will switch from paved to dirt. house at end has watchtower, park in pull out before gate. call Richard or gale 5204291621 to gain access permission. take driveway west, then social trl thru fence up to  pt.","Y",NA,NA,"{7A183A78-A68B-4B8B-81C1-835E51B7D9E9}",3,0.083349027810442
"105","ORPI","Wildlife_ORPI_V101_012",36,"Rebar","V101_012","Samsung Tab Active A","2016/04/25 00:00:00",NA,NA,NA,"Park on Bates Well Road at about 950m from point and hike straight to it.walked from same parking spot as 101 001","Y",NA,NA,"{05337EA4-1675-4665-B002-65C1690BD9E7}",153,0.179045111685447
"106","SAGW","Wildlife_SAGW_W202_001",83,"GPS Only","W202_001","Samsung Tab Active A","2017/01/24 00:00:00",NA,NA,"loose, sandstone rocks from about 200 m away from point","1 km due south of point 36. it is possible to follow large drainage a good portion of the way. from there, hook around western slope of small hill.","Y",NA,NA,"{C9D18081-A980-4BA0-8C79-76D97DCECA5B}",3,0.130942186457956
"107","TONT","Wildlife_TONT_V202_008",174,"Rebar","V202_008","Garmin GLO","2017/05/17 00:00:00",NA,NA,"na","Plot in upper bajada south of highway. Access from highway at mouth of Deadman's or from park road. ","Y",NA,NA,"{3CC0D1AA-3306-4E4D-A460-DB39F2539D5F}",439,0.0127979760216512
"108","CHIR","Wildlife_CHIR_V402_017",132,"Rebar","V402_017","Garmin GLO","2017/09/08 00:00:00",NA,NA,"Steep, loose rocks.","Park at admin and go North up drainage (staying on eastside to avoid crossing). (or) park at Nature Trailhead and hike NE. Plot is on other side of large hill. ","Y",NA,NA,"{DC98CC61-FCDD-4794-A59F-8649492CB03D}",5,0.0176973723495204
"109","SAGW","Wildlife_SAGW_W202_004",81,"GPS Only","W202_004","Samsung Tab Active A","2017/01/24 00:00:00",NA,NA,"steep rocky slopes, loose footing. possible bear tracks leading to mineshaft.","walk in wash until you get to hill that on the point is on","Y",NA,NA,"{2709A970-A82E-49F4-9EAB-0D047BCBDA63}",3,0.110189499421219
"110","SAGW","Wildlife_SAGW_W202_052",86,"GPS Only","W202_052","Samsung Tab Active A","2017/01/25 00:00:00",NA,NA,NA,"N/A","Y",NA,NA,"{89FF9FD6-43E5-4686-A7EC-09327A5003FB}",3,0.0626111215962456
"111","ORPI","Wildlife_ORPI_V102_10R",32,"GPS Only","V102_10R","Samsung Tab Active A","2016/04/23 00:00:00",NA,NA,NA,"More fans to hike but not bad if you side slope.","Y",NA,NA,"{12338018-5E8C-4577-A7D1-4B3C7E6A8AC8}",153,0.0652880608265396
"112","ORPI","Wildlife_ORPI_V102_002W",15,"Rebar","V102_002W","Samsung Tab Active A","2016/03/23 00:00:00",NA,NA,NA,"Park on highway when you are at ~800m from point and hike SE..6 mi. E of why 85","Y",NA,NA,"{06072BD3-3495-44A1-BEAC-1D8D16DE336A}",104,0.0623835514582828
"113","CAGR","Wildlife_CAGR_V101_003",125,"Rebar","V101_003","Samsung Tab Active A","2017/07/25 00:00:00",NA,NA,NA," ","Y",NA,NA,"{F47DB80A-6EEB-447D-8B26-04CAFD70B053}",7,0.00174250984093491
"114","SAGW","Wildlife_SAGW_W302_006",101,"GPS Only","W302_006","Samsung Tab Active A","2017/01/26 00:00:00",NA,NA,NA,"Follow Sweetwater trail. once 400m away from plot take old mining road facing south (looks just like another trail). Follow old mining road to plot. Plot just SW off road.","Y",NA,NA,"{60FC8B13-B9A7-4FC2-AA10-3081BD600D2B}",3,0.0978901166745659
"115","CHIR","Wildlife_CHIR_V502_020",152,"Rebar","V502_020","Garmin GLO","2017/09/13 00:00:00",NA,NA,"na","Follow Natural Bridge Trail. Cut north and go up slope after trail turns sharp to the left. Follow Ridgeline 700 meters to plot.","Y",NA,NA,"{1540C999-4A7A-4C26-85A7-60154878BCF9}",8,0.0226431968662802
"116","ORPI","Wildlife_ORPI_V103_15W",121,"GPS Only","V103_15W","Samsung Tab Active A","2017/03/21 00:00:00",NA,NA,NA,"1 km walk from road","Y",NA,NA,"{B9E7833F-1D86-41A5-9056-804A6E492C2B}",2,0.0201983313075959
"117","CHIR","Wildlife_CHIR_V402_004",136,"Rebar","V402_004","Garmin GLO","2017/09/10 00:00:00",NA,NA,"na","Park at Bonita Creek picnic area and hike directly south up drainage to the crest of two hills.","Y",NA,NA,"{39476AC7-D40E-4240-A6D4-745BFDE4D503}",5,0.0137479857161175
"118","CHIR","Wildlife_CHIR_V402_006",134,"Rebar","V402_006","Garmin GLO","2017/09/09 00:00:00",NA,NA,"loose rocks watch footing.","Follow rhyolite drainage to east, go up slope north till I hit point.","Y",NA,NA,"{230BC415-BA0D-43C3-80C6-EA4B1A0830A3}",8,0.0159743217556628
"119","SAGW","Wildlife_SAGW_W202_034",94,"GPS Only","W202_034","Samsung Tab Active A","2017/01/25 00:00:00",NA,NA,NA,"Park at side of Sweetwater Rd. Follow very old trail to the South towards drainage (try and avoid crossing private property). Follow drainage for about 300 meters then head South up slope towards point","Y",NA,NA,"{6DCE4A18-E16C-4BD2-9979-5D4175581E08}",3,0.0736413821749157
"120","SAGW","Wildlife_SAGW_W101_015",67,"GPS Only","W101_015","Samsung Tab Active A","2017/01/23 00:00:00",NA,NA,NA,"Park in same place as point 16, walk through open desert 1km west","Y",NA,NA,"{241DA1F1-96E3-459D-8C2A-A42784E86B41}",3,0.141655646598917
"121","SAGW","Wildlife_SAGW_W101_050",75,"GPS Only","W101_050","Samsung Tab Active A","2017/01/24 00:00:00",NA,NA,NA,"Park at side of Rudasill Road. Cross over fence. Head 700 meters to plot.","Y",NA,NA,"{F645473F-3C2F-4A06-B5B4-5111DC8F04DD}",3,0.096587022681671
"122","ORPI","Wildlife_ORPI_V102_107W",24,"GPS Only","V102_107W","Samsung Tab Active A","2016/04/22 00:00:00",NA,NA,NA,"walk west 500m along drainage, camera is on top of southern bank","Y",NA,NA,"{7E774097-370F-4E1C-A07B-5096439ED149}",2,0.111667627954119
"123","ORPI","Wildlife_ORPI_V102_37W",20,"GPS Only","V102_37W","Samsung Tab Active A","2016/04/22 00:00:00",NA,NA,NA,"gps Ella has a different location then where the camera was placed. Park in same spot at 03. Walked S and point is between 2 mtns.","Y",NA,NA,"{2DD0EB4E-6A45-4C84-8FD7-A2D784D36EE1}",2,0.0756969628557064
"124","CAGR","Wildlife_CAGR_V101_CMPD_C",123,"Rebar","V101_CMPD_C","Samsung Tab Active A","2017/07/25 00:00:00",NA,NA,NA," ","Y",NA,NA,"{588EDEFE-DEA8-4756-8AB5-56942BD5CC65}",7,0.00410599291487121
"125","ORPI","Wildlife_ORPI_V102_138R",34,"GPS Only","V102_138R","Samsung Tab Active A","2016/04/23 00:00:00",NA,NA,NA,"Park at Milton Mine trail head, lots of hill climbs.","Y",NA,NA,"{AD906AFD-7CCE-4E75-ADFA-0805967D3868}",153,0.0678643222283221
"126","ORPI","Wildlife_ORPI_V101_009",43,"Rebar","V101_009","Samsung Tab Active A","2016/04/25 00:00:00",NA,NA,NA,"15m South of rebar","Y",NA,NA,"{C492C1AA-7083-447B-84AD-A57DF84D2FCF}",157,0.186915842552103
"127","TONT","Wildlife_TONT_V202_005",210,"Rebar","V202_005","Garmin GLO","2017/05/17 00:00:00",NA,NA,"loose rock, steep, dense grass","Park at power station/Frazier trailhead. Follow trail short distance then head up slope following ridge. Head toward the exposed cliff face and wrap around to the south. ","Y",NA,NA,"{29C65F89-D8D1-4594-A1B9-92A4478E9BFE}",439,0.0140410002898175
"128","ORPI","Wildlife_ORPI_V103_012",47,"Rebar","V103_012","Samsung Tab Active A","2016/04/26 00:00:00",NA,NA,"steep hike to point","parked on side of the road in middle of flats off Pozo nuevo. stayed low and followed mountains until wash.hike from closed Rd if accessing from pozo","Y",NA,NA,"{4EE041B8-E58A-4AB5-B463-F19C3A8F915F}",153,0.130035817242137
"129","ORPI","Wildlife_ORPI_V103_008",39,"Rebar","V103_008","Samsung Tab Active A","2016/04/25 00:00:00",NA,NA,NA,"Park at Bates Well and hike straight to the point","Y",NA,NA,"{94601DAE-A1D2-43EE-9939-879A80B84E42}",1,0.151164055018081
"130","CHIR","Wildlife_CHIR_V402_007",128,"Rebar","V402_007","Garmin GLO","2017/09/07 00:00:00",NA,NA,"na","Park at admin and go up drainage. Stay on east side of drainage to avoid crossing. About 1 hour from admin","Y",NA,NA,"{A9AA951B-5236-477C-8361-8AD508E002BD}",12,0.0107259212769254
"131","SAGW","Wildlife_SAGW_W101_048",90,"GPS Only","W101_048","Samsung Tab Active A","2017/01/25 00:00:00",NA,NA,NA,"About 1km west from Sanderio rd","Y",NA,NA,"{0CED6CAD-FAEC-4E70-A5D5-ADE1A7586899}",3,0.115374408683561
"132","ORPI","Wildlife_ORPI_V103_42R",56,"GPS Only","V103_42R","Samsung Tab Active A","2016/04/27 00:00:00",NA,NA,NA,"Coming from point 103_47R, several wide drainages to cross, do your best using the contours layer.hike n from n Puerto Blanco Rd. 0.77 mi","Y",NA,NA,"{A653E036-67BD-44EB-8DBA-6BEB67CEF42E}",153,0.0818281990558009
"133","CHIR","Wildlife_CHIR_V502_002",148,"Rebar","V502_002","Garmin GLO","2017/09/12 00:00:00",NA,NA,"very steep and loose gravel last 350 meters","Hike up Jesse James Canyon until about 350 meters away from plot. Hike up south facing drainage towards plot.","Y",NA,NA,"{12EC4B29-59AE-45C1-BF87-0BB79F2DC380}",9,0.0317954438919332
"134","CHIR","Wildlife_CHIR_V503_002",155,"Rebar","V503_002","Garmin GLO","2017/09/13 00:00:00",NA,NA,"na","Park at Echo Canyon Trailhead. Hike down Ed Riggs tr and Mushroom Rock tr to junction with Big Balanced Rock tr and Inspiration Point tr. Hike down Big Balanced Rock approx. 200m to where trial veers west then traverse across west-facing slope to point. ","Y",NA,NA,"{D9470CEC-8CE8-4C95-8136-9258F014949C}",8,0.0446444332272668
"135","CHIR","Wildlife_CHIR_V502_014",151,"Rebar","V502_014","Garmin GLO","2017/09/13 00:00:00",NA,NA,"Some rock climbing involved. ","From 502_020, hike to the NE towards birth of drainage. The drainage goes further than what is shown on map. either skirt the drainage to the north, or drop down and up the other side when point is about 270m to the NW. (continued above)","Y",NA,NA,"{E383476A-29C4-4138-8829-F0EF0A4C557F}",8,0.0213906243830308
"136","ORPI","Wildlife_ORPI_V103_06W",28,"GPS Only","V103_06W","Samsung Tab Active A","2016/04/22 00:00:00",NA,NA,NA,"Park at maintenance road across road to campground.Park at small round about and walk west","Y",NA,NA,"{49D4D323-495E-4CF4-A8A0-5EBD622CC813}",2,0.0964033061235744
"137","CHIR","Wildlife_CHIR_V402_005",140,"Rebar","V402_005","Garmin GLO","2017/09/10 00:00:00",NA,NA,"steep","Park along Pinery Road. Last 80m very steep.","Y",NA,NA,"{02B6AB06-BAFD-4348-B675-52A18607D0B2}",5,0.0060268571277881
"138","ORPI","Wildlife_ORPI_V101_013",37,"Rebar","V101_013","Samsung Tab Active A","2016/04/25 00:00:00",NA,NA,NA,"Park on Bates Well Road and hike straight to the point.Park at station","Y",NA,NA,"{62734C1A-1B1F-4C53-B63A-571C443E8FD5}",157,0.203070792444463
"139","CHIR","Wildlife_CHIR_V502_021",145,"Rebar","V502_021","Garmin GLO","2017/09/12 00:00:00",NA,NA,"na","na","Y",NA,NA,"{07E0386D-4F4D-4231-B2EF-3F28AC5C5E4C}",9,0.0119303791859793
"140","CAGR","Wildlife_CAGR_V101_002",127,"Rebar","V101_002","Samsung Tab Active A","2017/07/25 00:00:00",NA,NA,NA," ","Y",NA,NA,"{0CAEDD5E-BF37-4A5A-9F2F-AB536681C6FB}",7,0.000736470584776537
"141","CHIR","Wildlife_CHIR_V402_011",131,"Rebar","V402_011","Garmin GLO","2017/09/08 00:00:00",NA,NA,"keep an eye out for snakes","after 402_017 follow mountain side and turn up the wash","Y",NA,NA,"{8B1AFD87-D421-4041-810C-DC313BDF7717}",5,0.0212750641033561
"142","ORPI","Wildlife_ORPI_V102_71W",27,"GPS Only","V102_71W","Samsung Tab Active A","2016/04/22 00:00:00",NA,NA,NA,"(same as previous year)","Y",NA,NA,"{B451BC2A-43A7-4A49-9762-AAABB649EBB8}",2,0.057059287251631
"143","CHIR","Wildlife_CHIR_Bonita_Index1",162,"GPS Only","Bonita_Index1","Garmin GLO","2017/09/20 00:00:00",NA,NA,"na","Park at Bonita Creek parking lot. walk upstream along creek ~700m.","Y",NA,NA,"{A762D18C-917B-4D41-801E-26149166FDB4}",5,0.0150628993566916
"144","ORPI","Wildlife_ORPI_V102_003",6,"Rebar","V102_003","Samsung Tab Active A","2016/03/22 00:00:00",NA,NA,NA,"2 km south of 103_005. Next to uplands origin marker.","Y",NA,NA,"{BAC7F39A-A737-40CE-B1F9-2E2D679C71C0}",104,0.0386266341778485
"145","SAGW","Wildlife_SAGW_W202_021",114,"GPS Only","W202_021","Samsung Tab Active A","2017/01/26 00:00:00",NA,NA,NA,"Park on side of Golden Gate rd. easy 140 m hike ","Y",NA,NA,"{019ED21A-795B-4C1A-9C0F-A40E4C0B7676}",3,0.0902552930438374
"146","CHIR","Wildlife_CHIR_V502_012",146,"Rebar","V502_012","Garmin GLO","2017/09/12 00:00:00",NA,NA,"Intermediate bouldering in drainage, loose rocks.","Park At boneyard  (get key from maintenance). Follow Newton Canyon drainage. At junction take the left drainage and follow it until 200 meters away from plot. Leave drainage and cut up slope towards the north until ridgeline. Plot is 140 meters away.","Y",NA,NA,"{E665F18E-4E2D-47BF-B1A2-347DEA230793}",9,0.00565938909331321
"147","ORPI","Wildlife_ORPI_V102_63W",26,"GPS Only","V102_63W","Samsung Tab Active A","2016/04/22 00:00:00",NA,NA,"loose rocks abound","600 m w of PB road. camera in open gravel approx. 10 m from very large standing dead organ pipe @86 degrees","Y",NA,NA,"{FB0864AD-4F7B-4541-9D7E-2EB9F0364726}",2,0.0449931160040693
"148","SAGW","Wildlife_SAGW_W202_042",92,"GPS Only","W202_042","Samsung Tab Active A","2017/01/25 00:00:00",NA,NA,NA,"access point via golden gate road. camera is in clearing, just to the west of large CYLSPI","Y",NA,NA,"{FCCB1AEC-56CE-4E2B-91CB-5EAE5E447BC8}",3,0.115949972044288
"149","ORPI","Wildlife_ORPI_V102_005",13,"Rebar","V102_005","Samsung Tab Active A","2016/03/23 00:00:00",NA,NA,"don't enter the wash","continue on road until steep incline there is a small pull out at the top. walk along ridge. Park at small pull out after hill","Y",NA,NA,"{F29EB052-C37A-4C53-99A7-16A01A14EF36}",69,0.0430487562835243
"150","SAGW","Wildlife_SAGW_W202_037",93,"GPS Only","W202_037","Samsung Tab Active A","2017/01/25 00:00:00",NA,NA,NA,"From point 202_008, cross drainage to the East and hike 1 km along the foothills towards point","Y",NA,NA,"{D1D0A310-2B0C-45E3-9929-657C970C6342}",3,0.075370186977942
"151","ORPI","Wildlife_ORPI_V101_004W",10,"Rebar","V101_004W","Samsung Tab Active A","2016/03/23 00:00:00",NA,NA,NA,"Park on the fenceline road and hike straight to the point.Hike 2k n from east boundary road.","Y",NA,NA,"{EC445135-1666-4072-9CE9-B2E1B3837E75}",69,0.150635580828807
"152","CHIR","Wildlife_CHIR_V402_003",157,"Rebar","V402_003","Garmin GLO","2017/09/14 00:00:00",NA,NA,"na","Access from Sarah Deming Trail or behind VC and head south uphill. Point is located in dense ARCPUN shrubland and access can be difficult in places (or) Take trail from housing south toward spring. Cut east off trail to plot approx. 600m","Y",NA,NA,"{A925E2AC-E86C-47A0-9C38-AEE51CCFB48C}",9,0.00655730862013348
"153","ORPI","Wildlife_ORPI_V102_17W",25,"GPS Only","V102_17W","Samsung Tab Active A","2016/04/22 00:00:00",NA,NA,NA,"camera about 500m east of North PB Dr. In between two ironwood trees, facing into small drainage","Y",NA,NA,"{FEA3DB2A-F292-4075-B225-20F5AA25DECC}",2,0.0739721674022342
"154","SAGW","Wildlife_SAGW_W202_009",70,"GPS Only","W202_009","Samsung Tab Active A","2017/01/23 00:00:00",NA,NA,NA,"pullout on loop road just past sus turnoff 30 meters from point","Y",NA,NA,"{38C4B5B5-291E-4C58-86D2-1A66B1399DFD}",3,0.134916698892078
"155","SAGW","Wildlife_SAGW_W202_002",85,"GPS Only","W202_002","Samsung Tab Active A","2017/01/24 00:00:00",NA,NA,NA,"hike about 800 meters due north of visitor's center. cross through several small washes. ","Y",NA,NA,"{440253F3-72B6-482D-ACF7-23A29025203F}",3,0.132295010731157
"156","CAGR","Wildlife_CAGR_V101_CMPD_D",122,"Rebar","V101_CMPD_D","Samsung Tab Active A","2017/07/25 00:00:00",NA,NA,NA," ","Y",NA,NA,"{012607EC-C581-4D2C-97CB-1063FA00F447}",7,0.00435412900765063
"157","CHIR","Wildlife_CHIR_V502_024",158,"Rebar","V502_024","Garmin GLO","2017/09/14 00:00:00",NA,NA,"Loose rocks and boulders in drainage.","Follow Jesse James canyon until point is 100m due east, then cut out of drainage towards point","Y",NA,NA,"{69C9210C-D033-4CC3-BD89-A5C19B5060B7}",9,0.0345054973015461
"158","SAGW","Wildlife_SAGW_W202_014",102,"GPS Only","W202_014","Samsung Tab Active A","2017/01/26 00:00:00",NA,NA,NA,"Hike up sweetwater trail, go off trail and hit ridge to N/w. Hike up ridge towards W until you hit plot. Actual UTMs: 12S 487521E 3570468N","Y",NA,NA,"{F721EAB0-AF4E-4265-B337-4AC385FD93A3}",3,0.0843305934390376
"159","SAGW","Wildlife_SAGW_W202_025",76,"GPS Only","W202_025","Samsung Tab Active A","2017/01/24 00:00:00",NA,NA,NA,"from point 202_020 find and follow wash until 150 meters away","Y",NA,NA,"{68D1A4DE-8A37-4127-B246-0044C6B5AB1A}",3,0.102384680626643
"160","SAGW","Wildlife_SAGW_W102_057",63,"GPS Only","W102_057","Samsung Tab Active A","2017/01/23 00:00:00",NA,NA,NA,"continued east from 59 in washes and overland. could have used trail but didn't since off trail navigation was easy.","Y",NA,NA,"{0C715216-3166-40E3-8D98-6B766000A5D2}",3,0.0606312979341077
"161","CHIR","Wildlife_CHIR_V502_016",144,"Rebar","V502_016","Garmin GLO","2017/09/11 00:00:00",NA,NA,"steep and loose rocks","Hike up Natural Bridge trail until foot of hill is reached. This will be south side of hill so side skirt to the east. In the middle of the hill there is a nook that can be climbed to the crest. Walk along the crest to the point approx. 420m away.","Y",NA,NA,"{7FC32245-1081-4ED5-9031-6F5517EA3882}",12,0.0207885608207818
"162","SAGW","Wildlife_SAGW_W202_010",105,"GPS Only","W202_010","Samsung Tab Active A","2017/01/26 00:00:00",NA,NA,NA,"Follow Hugh Norris Trail until about 400m away from plot. Head north off trail. Traverse ridge until at plot (next to drainage).","Y",NA,NA,"{3D9B76A5-1132-49EC-8F35-BA51F6926BC3}",3,0.118156416893358
"163","ORPI","Wildlife_ORPI_V102_003W",16,"Rebar","V102_003W","Samsung Tab Active A","2016/03/23 00:00:00",NA,NA,"loose rock.","park on shoulder of puerto blanco rd, within 1.3km of cam @270째.","Y",NA,NA,"{B2CCF734-D998-487C-87DC-643AC553BB0D}",2,0.0381091814237026
